"측정일시","측정소명","이산화질소농도(ppm)","오존농도(ppm)","일산화탄소농도(ppm)","아황산가스(ppm)","미세먼지(㎍/㎥)","초미세먼지(㎍/㎥)"
"201906071100","광진구","0.013","0.047","0.5","0.005","11","13"
"201906071200","광진구","0.01","0.052","0.5","0.005","","14"
"201906071300","광진구","0.012","0.048","0.5","0.005","","16"
"201906071400","광진구","0.009","0.05","0.5","0.006","10","12"
"201906071500","광진구","0.01","0.051","0.5","0.005","","17"
"201906071600","광진구","0.011","0.05","0.5","0.005","11","10"
"201906071700","광진구","0.011","0.048","0.5","0.005","16","14"
"201906071800","광진구","0.013","0.049","0.5","0.005","","14"
"201906071900","광진구","0.014","0.049","0.5","0.005","","13"
"201906072000","광진구","0.014","0.052","0.5","0.005","10","10"
"201906072100","광진구","0.015","0.048","0.5","0.005","10","5"
"201906072200","광진구","0.014","0.048","0.5","0.005","8","9"
"201906072300","광진구","0.011","0.046","0.5","0.005","12","10"
"201906080000","광진구","0.017","0.036","0.5","0.005","14","12"
"201906080100","광진구","0.021","0.027","0.6","0.005","",""
"201906080200","광진구","0.016","0.03","0.5","0.005","18","17"
"201906080300","광진구","0.014","0.03","0.5","0.005","","18"
"201906080400","광진구","0.013","0.031","0.5","0.005","13","13"
"201906080500","광진구","0.012","0.034","0.5","0.005","","18"
"201906080600","광진구","0.012","0.035","0.5","0.005","14","12"
"201906080700","광진구","0.014","0.032","0.5","0.005","19","15"
"201906080800","광진구","0.017","0.031","0.5","0.005","22","22"
"201906080900","광진구","0.016","0.035","0.5","0.005","22","16"
"201906081000","광진구","0.017","0.037","0.5","0.005","27","18"
"201906081100","광진구","0.014","0.043","0.5","0.005","25","19"
"201906081200","광진구","0.015","0.047","0.5","0.005","26","17"
"201906081300","광진구","0.017","0.047","0.5","0.005","29","20"
"201906081400","광진구","0.019","0.048","0.5","0.005","28","19"
"201906081500","광진구","0.016","0.056","0.5","0.005","22","13"
"201906081600","광진구","0.021","0.058","0.5","0.005","29","16"
"201906081700","광진구","0.034","0.059","0.6","0.006","67",""
"201906081800","광진구","0.029","0.068","0.6","0.007","53",""
"201906081900","광진구","0.025","0.063","0.7","0.007","48","38"
"201906082000","광진구","0.024","0.053","0.7","0.007","27","22"
"201906082100","광진구","0.022","0.047","0.6","0.007","","23"
"201906082200","광진구","0.023","0.041","0.7","0.007","","28"
"201906082300","광진구","0.043","0.016","0.8","0.006","32","30"
"201906090000","광진구","0.031","0.028","0.7","0.006","37","34"
"201906090100","광진구","0.028","0.028","0.7","0.005","","50"
"201906090200","광진구","0.029","0.023","0.8","0.005","51","43"
"201906090300","광진구","0.019","0.036","0.7","0.006","72","59"
"201906090400","광진구","0.015","0.038","0.7","0.006","","58"
"201906090500","광진구","0.016","0.03","0.7","0.006","","61"
"201906090600","광진구","0.019","0.02","0.7","0.006","54","52"
"201906090700","광진구","0.024","0.014","0.8","0.006","50","49"
"201906090800","광진구","0.024","0.022","0.8","0.007","67","64"
"201906090900","광진구","0.023","0.03","0.7","0.008","","73"
"201906091000","광진구","0.018","0.045","0.7","0.008","","61"
"201906091100","광진구","0.017","0.058","0.7","0.008","55","49"
"201906091200","광진구","0.016","0.065","0.7","0.008","51","45"
"201906091300","광진구","0.016","0.073","0.7","0.008","","47"
"201906091400","광진구","0.016","0.078","0.7","0.007","52","50"
"201906091500","광진구","0.017","0.076","0.7","0.007","","52"
"201906091600","광진구","0.019","0.073","0.7","0.007","46","45"
"201906091700","광진구","0.018","0.063","0.6","0.006","","43"
"201906091800","광진구","0.018","0.06","0.6","0.006","","37"
"201906091900","광진구","0.017","0.055","0.6","0.006","38","37"
"201906022000","구로구","0.019","0.06","0.3","0.004","40","21"
"201906022100","구로구","0.023","0.051","0.3","0.004","32","20"
"201906022200","구로구","0.031","0.037","0.3","0.004","32","16"
"201906022300","구로구","0.033","0.031","0.3","0.004","33","21"
"201906030000","구로구","0.024","0.036","0.3","0.004","33",""
"201906030100","구로구","0.017","0.042","0.2","0.004","21","19"
"201906030200","구로구","0.013","0.044","0.2","0.004","24","11"
"201906030300","구로구","0.028","0.023","0.3","0.004","30","20"
"201906030400","구로구","0.038","0.009","0.3","0.004","30","20"
"201906030500","구로구","0.042","0.005","0.4","0.004","31","22"
"201906030600","구로구","0.043","0.005","0.4","0.004","36","25"
"201906030700","구로구","0.044","0.005","0.4","0.005","44","25"
"201906030800","구로구","0.043","0.009","0.4","0.005","44","25"
"201906030900","구로구","0.034","0.025","0.3","0.005","45","30"
"201906031000","구로구","0.028","0.035","0.3","0.004","45","25"
"201906031100","구로구","0.026","0.044","0.3","0.004","48","24"
"201906031200","구로구","0.021","0.059","0.3","0.004","46","23"
"201906031300","구로구","0.01","0.06","0.3","0.004","38","32"
"201906031400","구로구","0.007","0.058","0.2","0.004","38","32"
"201906031500","구로구","0.007","0.069","0.2","0.004","37","18"
"201906031600","구로구","0.012","0.077","0.2","0.004","55","19"
"201906031700","구로구","0.016","0.083","0.3","0.004","69","28"
"201906031800","구로구","0.018","0.087","0.3","0.004","67",""
"201906031900","구로구","0.018","0.089","0.3","0.004","66","30"
"201906032000","구로구","0.021","0.081","0.3","0.004","52","34"
"201906032100","구로구","0.025","0.072","0.4","0.004","52","32"
"201906032200","구로구","0.035","0.041","0.4","0.005","50","33"
"201906032300","구로구","0.03","0.032","0.3","0.004","50","28"
"201906040000","구로구","0.026","0.034","0.3","0.004","","28"
"201906040100","구로구","0.014","0.049","0.2","0.004","27","19"
"201906040200","구로구","0.014","0.044","0.2","0.004","24","22"
"201906040300","구로구","0.027","0.022","0.3","0.004","24","22"
"201906040400","구로구","0.023","0.025","0.3","0.004","33","31"
"201906040500","구로구","0.02","0.03","0.4","0.004","39","31"
"201906040600","구로구","0.029","0.026","0.5","0.004","39","31"
"201906040700","구로구","0.036","0.02","0.4","0.005","37","34"
"201906040800","구로구","0.031","0.034","0.3","0.005","37","27"
"201906040900","구로구","0.026","0.034","0.4","0.005","36","23"
"201906041000","구로구","0.021","0.036","0.3","0.005","27","22"
"201906041100","구로구","0.016","0.049","0.2","0.004","27","26"
"201906041200","구로구","0.013","0.057","0.2","0.004","31","16"
"201906041300","구로구","0.01","0.054","0.3","0.004","27","24"
"201906041400","구로구","0.007","0.047","0.2","0.004","","24"
"201906041500","구로구","0.007","0.046","0.2","0.004","27","12"
"201906041600","구로구","0.009","0.043","0.2","0.004","27","20"
"201906041700","구로구","0.012","0.04","0.2","0.004","27","26"
"201906041800","구로구","0.015","0.036","0.2","0.004","33","26"
"201906041900","구로구","0.018","0.027","0.2","0.004","33","30"
"201906042000","구로구","0.018","0.025","0.2","0.004","31","22"
"201906042100","구로구","0.014","0.03","0.2","0.004","22","22"
"201906042200","구로구","0.014","0.03","0.2","0.004","22","21"
"201906042300","구로구","0.014","0.031","0.2","0.004","26","21"
"201906050000","구로구","0.014","0.031","0.2","0.004","38",""
"201906050100","구로구","0.011","0.035","0.2","0.004","43",""
"201906050200","구로구","0.01","0.036","0.2","0.004","47",""
"201906050300","구로구","0.009","0.036","0.2","0.004","",""
"201906050400","구로구","0.007","0.036","0.2","0.004","",""
"201906050500","구로구","0.008","0.035","0.2","0.004","60",""
"201906050600","구로구","0.01","0.033","0.2","0.004","53",""
"201906050700","구로구","0.014","0.029","0.2","0.004","","48"
"201906050800","구로구","0.022","0.022","0.3","0.004","53","53"
"201906050900","구로구","0.023","0.021","0.3","0.004","66","53"
"201906051000","구로구","0.024","0.023","0.3","0.004","73","62"
"201906051100","구로구","0.027","0.028","0.3","0.004","79","62"
"201906051200","구로구","0.026","0.037","0.3","0.004","69","57"
"201906051300","구로구","0.025","0.047","0.3","0.004","87","61"
"201906051400","구로구","0.03","0.066","0.3","0.004","98","74"
"201906051500","구로구","0.032","0.075","0.4","0.004","98","74"
"201906051600","구로구","0.025","0.069","0.4","0.004","","79"
"201906051700","구로구","0.021","0.075","0.4","0.004","75",""
"201906051800","구로구","0.023","0.078","0.4","0.004","68","48"
"201906051900","구로구","0.03","0.07","0.5","0.004","75","52"
"201906052000","구로구","0.034","0.061","0.4","0.004","80","67"
"201906052100","구로구","0.033","0.041","0.4","0.004","","63"
"201906052200","구로구","0.046","0.018","0.4","0.004","56","46"
"201906052300","구로구","0.041","0.013","0.4","0.004","","46"
"201906060000","구로구","0.03","0.019","0.3","0.004","38","35"
"201906060100","구로구","0.024","0.023","0.3","0.004","","36"
"201906060200","구로구","0.015","0.029","0.3","0.004","34","27"
"201906060300","구로구","0.013","0.026","0.3","0.004","36","31"
"201906060400","구로구","0.018","0.019","0.3","0.004","36","31"
"201906060500","구로구","0.023","0.011","0.3","0.004","",""
"201906060600","구로구","0.025","0.008","0.3","0.004","53",""
"201906060700","구로구","0.026","0.007","0.4","0.004","",""
"201906060800","구로구","0.03","0.009","0.4","0.004","59",""
"201906060900","구로구","0.035","0.012","0.5","0.004","75","53"
"201906061000","구로구","0.041","0.014","0.5","0.004","78","71"
"201906061100","구로구","0.052","0.007","0.5","0.004","89","78"
"201906061200","구로구","0.053","0.009","0.5","0.004","87","74"
"201906061300","구로구","0.057","0.015","0.6","0.004","94","77"
"201906061400","구로구","0.056","0.023","0.5","0.004","95","77"
"201906061500","구로구","0.059","0.014","0.5","0.004","95","70"
"201906061600","구로구","0.047","0.008","0.5","0.004","81","75"
"201906061700","구로구","0.047","0.009","0.5","0.004","81","65"
"201906061800","구로구","0.049","0.009","0.5","0.004","81","76"
"201906061900","구로구","0.037","0.027","0.5","0.004","82","69"
"201906062000","구로구","0.027","0.04","0.4","0.004","89","80"
"201906062100","구로구","0.014","0.054","0.3","0.004","46","44"
"201906062200","구로구","0.014","0.051","0.3","0.004","46","44"
"201906062300","구로구","0.012","0.047","0.3","0.004","","38"
"201906070000","구로구","0.009","0.051","0.3","0.004","","38"
"201906070100","구로구","0.008","0.055","0.2","0.004","","27"
"201906070200","구로구","0.006","0.059","0.2","0.004","22","21"
"201906070300","구로구","0.004","0.058","0.2","0.004","","21"
"201906070400","구로구","0.004","0.06","0.3","0.004","20","12"
"201906070500","구로구","0.004","0.064","0.2","0.004","","12"
"201906070600","구로구","0.007","0.058","0.2","0.004","","14"
"201906070700","구로구","0.013","0.054","0.2","0.004","","8"
"201906070800","구로구","0.02","0.048","0.2","0.004","","10"
"201906070900","구로구","0.026","0.043","0.3","0.004","","10"
"201906071000","구로구","0.025","0.042","0.3","0.004","","12"
"201906071100","구로구","0.022","0.042","0.3","0.004","11","12"
"201906071200","구로구","0.017","0.049","0.3","0.004","","13"
"201906071300","구로구","0.012","0.054","0.3","0.004","10","12"
"201906071400","구로구","0.009","0.06","0.2","0.004","10","7"
"201906071500","구로구","0.008","0.061","0.2","0.004","9","7"
"201906071600","구로구","0.009","0.059","0.2","0.004","10","8"
"201906071700","구로구","0.009","0.058","0.2","0.004","9","8"
"201906071800","구로구","0.012","0.055","0.2","0.004","9","6"
"201906071900","구로구","0.012","0.057","0.2","0.004","11","7"
"201906072000","구로구","0.012","0.058","0.2","0.004","9","8"
"201906072100","구로구","0.013","0.056","0.2","0.004","8","6"
"201906072200","구로구","0.018","0.046","0.3","0.004","8","8"
"201906072300","구로구","0.013","0.047","0.3","0.004","17","8"
"201906080000","구로구","0.012","0.049","0.2","0.004","15","12"
"201906080100","구로구","0.016","0.04","0.3","0.004","11","11"
"201906080200","구로구","0.024","0.028","0.3","0.004","18","17"
"201906080300","구로구","0.018","0.033","0.3","0.004","","16"
"201906080400","구로구","0.018","0.029","0.3","0.004","","17"
"201906080500","구로구","0.016","0.033","0.3","0.004","16","14"
"201906080600","구로구","0.019","0.031","0.3","0.004","","20"
"201906080700","구로구","0.019","0.035","0.2","0.004","22","16"
"201906080800","구로구","0.018","0.038","0.2","0.004","22","16"
"201906080900","구로구","0.016","0.042","0.2","0.004","22","20"
"201906081000","구로구","0.016","0.044","0.2","0.004","30","16"
"201906081100","구로구","0.016","0.049","0.2","0.004","29","16"
"201906081200","구로구","0.016","0.052","0.2","0.004","25","19"
"201906081300","구로구","0.017","0.054","0.3","0.004","23","17"
"201906081400","구로구","0.019","0.057","0.3","0.004","30","17"
"201906081500","구로구","0.028","0.069","0.4","0.004","30","25"
"201906081600","구로구","0.022","0.082","0.3","0.004","",""
"201906081700","구로구","0.018","0.079","0.3","0.004","",""
"201906081800","구로구","0.018","0.067","0.4","0.004","41",""
"201906081900","구로구","0.016","0.068","0.3","0.004","36","33"
"201906082000","구로구","0.021","0.058","0.3","0.004","","28"
"201906082100","구로구","0.022","0.054","0.3","0.004","18","18"
"201906082200","구로구","0.024","0.045","0.3","0.004","","20"
"201906082300","구로구","0.037","0.03","0.3","0.004","19","17"
"201906090000","구로구","0.041","0.024","0.4","0.004","49","25"
"201906090100","구로구","0.036","0.022","0.5","0.004","67","38"
"201906090200","구로구","0.027","0.028","0.4","0.004","81",""
"201906090300","구로구","0.011","0.051","0.3","0.004","",""
"201906090400","구로구","0.007","0.056","0.3","0.004","57","51"
"201906090500","구로구","0.01","0.045","0.3","0.004","","63"
"201906090600","구로구","0.017","0.035","0.3","0.004","68","68"
"201906090700","구로구","0.015","0.035","0.3","0.004","70","70"
"201906090800","구로구","0.016","0.041","0.3","0.004","","70"
"201906090900","구로구","0.011","0.05","0.3","0.004","58","56"
"201906091000","구로구","0.011","0.057","0.3","0.004","37","31"
"201906091100","구로구","0.011","0.061","0.3","0.004","","31"
"201906091200","구로구","0.01","0.066","0.3","0.004","37","23"
"201906091300","구로구","0.012","0.068","0.3","0.004","40","35"
"201906091400","구로구","0.013","0.067","0.3","0.004","37","27"
"201906091500","구로구","0.012","0.076","0.3","0.004","37","27"
"201906091600","구로구","0.015","0.073","0.3","0.004","","40"
"201906091700","구로구","0.015","0.064","0.3","0.004","","43"
"201906091800","구로구","0.014","0.052","0.3","0.004","35","33"
"201906091900","구로구","0.009","0.057","0.3","0.004","28","27"
"201906022000","금천구","0.028","0.05","0.4","0.003","31","19"
"201906022100","금천구","0.038","0.036","0.5","0.003","34","23"
"201906022200","금천구","0.036","0.03","0.5","0.003","34","24"
"201906022300","금천구","0.037","0.026","0.5","0.003","37","26"
"201906030000","금천구","0.05","0.014","0.5","0.003","34","24"
"201906030100","금천구","0.053","0.01","0.5","0.003","34","24"
"201906030200","금천구","0.053","0.007","0.5","0.004","30","19"
"201906030300","금천구","0.044","0.01","0.5","0.003","27","18"
"201906030400","금천구","0.039","0.013","0.4","0.003","25","17"
"201906030500","금천구","0.033","0.016","0.4","0.003","25","18"
"201906030600","금천구","0.042","0.009","0.5","0.003","23","18"
"201906030700","금천구","0.055","0.004","0.5","0.003","28","18"
"201906030800","금천구","0.054","0.008","0.6","0.004","32","18"
"201906030900","금천구","0.038","0.024","0.5","0.004","30","20"
"201906031000","금천구","0.036","0.031","0.5","0.004","27","17"
"201906031100","금천구","0.032","0.041","0.4","0.004","29","18"
"201906031200","금천구","0.03","0.051","0.4","0.006","33","19"
"201906031300","금천구","0.021","0.057","0.4","0.005","41","23"
"201906031400","금천구","0.012","0.049","0.3","0.003","34","17"
"201906031500","금천구","0.013","0.052","0.3","0.003","23","12"
"201906031600","금천구","0.022","0.06","0.4","0.003","31","17"
"201906031700","금천구","0.024","0.062","0.4","0.003","38","22"
"201906031800","금천구","0.028","0.067","0.4","0.004","40","24"
"201906031900","금천구","0.029","0.068","0.4","0.004","46","27"
"201906032000","금천구","0.037","0.059","0.4","0.004","45","27"
"201906032100","금천구","0.046","0.046","0.5","0.004","47","28"
"201906032200","금천구","0.032","0.037","0.5","0.006","45","29"
"201906032300","금천구","0.032","0.031","0.4","0.005","29","22"
"201906040000","금천구","0.033","0.026","0.4","0.004","26","18"
"201906040100","금천구","0.034","0.025","0.4","0.004","26","21"
"201906040200","금천구","0.027","0.023","0.4","0.005","27","19"
"201906040300","금천구","0.035","0.016","0.4","0.005","27","20"
"201906040400","금천구","0.026","0.02","0.4","0.005","27","21"
"201906040500","금천구","0.021","0.03","0.5","0.007","29","24"
"201906040600","금천구","0.042","0.014","0.6","0.005","30","24"
"201906040700","금천구","0.051","0.012","0.6","0.005","28","21"
"201906040800","금천구","0.029","0.037","0.5","0.008","28","19"
"201906040900","금천구","0.038","0.028","0.5","0.006","26","21"
"201906041000","금천구","0.033","0.029","0.4","0.005","27","19"
"201906041100","금천구","0.023","0.039","0.3","0.004","25","16"
"201906041200","금천구","0.019","0.047","0.3","0.004","26","18"
"201906041300","금천구","0.014","0.043","0.3","0.004","24","17"
"201906041400","금천구","0.013","0.044","0.4","0.005","22","15"
"201906041500","금천구","0.01","0.035","0.3","0.003","18","11"
"201906041600","금천구","0.013","0.032","0.3","0.004","20","15"
"201906041700","금천구","0.016","0.034","0.3","0.003","29","18"
"201906041800","금천구","0.017","0.026","0.3","0.003","27","18"
"201906041900","금천구","0.021","0.02","0.3","0.003","27","20"
"201906042000","금천구","0.019","0.02","0.3","0.003","26","20"
"201906042100","금천구","0.019","0.019","0.3","0.003","20","16"
"201906042200","금천구","0.017","0.02","0.3","0.003","20","15"
"201906042300","금천구","0.014","0.022","0.3","0.003","20","17"
"201906050000","금천구","0.012","0.024","0.3","0.002","23","20"
"201906050100","금천구","0.013","0.023","0.3","0.002","27","24"
"201906050200","금천구","0.011","0.024","0.3","0.003","28","23"
"201906050300","금천구","0.01","0.022","0.3","0.003","30","24"
"201906050400","금천구","0.01","0.022","0.3","0.003","28","23"
"201906050500","금천구","0.01","0.021","0.3","0.002","33","26"
"201906050600","금천구","0.01","0.022","0.3","0.002","32","25"
"201906050700","금천구","0.011","0.02","0.3","0.002","33","24"
"201906050800","금천구","0.017","0.015","0.4","0.002","30","23"
"201906050900","금천구","0.023","0.014","0.4","0.002","36","26"
"201906051000","금천구","0.027","0.015","0.4","0.002","33","25"
"201906051100","금천구","0.029","0.02","0.4","0.003","38","29"
"201906051200","금천구","0.032","0.03","0.4","0.003","38","30"
"201906051300","금천구","0.027","0.032","0.4","0.003","44","30"
"201906051400","금천구","0.028","0.046","0.4","0.004","52","35"
"201906051500","금천구","0.029","0.053","0.5","0.005","68","46"
"201906051600","금천구","0.026","0.054","0.5","0.005","70","47"
"201906051700","금천구","0.026","0.055","0.5","0.004","56","40"
"201906051800","금천구","0.027","0.055","0.6","0.005","58","40"
"201906051900","금천구","0.034","0.047","0.7","0.006","64","44"
"201906052000","금천구","0.049","0.035","0.6","0.005","55","40"
"201906052100","금천구","0.051","0.024","0.6","0.005","49","33"
"201906052200","금천구","0.053","0.01","0.5","0.006","42","27"
"201906052300","금천구","0.048","0.009","0.5","0.005","36","24"
"201906060000","금천구","0.049","0.005","0.5","0.005","31","20"
"201906060100","금천구","0.044","0.005","0.5","0.005","30","22"
"201906060200","금천구","0.034","0.008","0.5","0.005","28","19"
"201906060300","금천구","0.034","0.005","0.5","0.004","26","18"
"201906060400","금천구","0.036","0.003","0.5","0.004","27","18"
"201906060500","금천구","0.033","0.003","0.5","0.004","28","18"
"201906060600","금천구","0.032","0.003","0.5","0.004","27","19"
"201906060700","금천구","0.034","0.004","0.5","0.004","30","22"
"201906060800","금천구","0.037","0.006","0.6","0.004","32","21"
"201906060900","금천구","0.044","0.005","0.6","0.005","45","28"
"201906061000","금천구","0.045","0.011","0.6","0.004","41","27"
"201906061100","금천구","0.053","0.009","0.7","0.005","56","35"
"201906061200","금천구","0.054","0.013","0.7","0.004","53","35"
"201906061300","금천구","0.047","0.023","0.6","0.004","56","43"
"201906061400","금천구","0.044","0.028","0.6","0.004","47","32"
"201906061500","금천구","0.053","0.022","0.7","0.004","56","36"
"201906061600","금천구","0.066","0.006","0.7","0.004","68","41"
"201906061700","금천구","0.058","0.006","0.7","0.003","73","43"
"201906061800","금천구","0.062","0.005","0.7","0.004","66","41"
"201906061900","금천구","0.048","0.02","0.7","0.004","66","45"
"201906062000","금천구","0.026","0.033","0.6","0.004","62","42"
"201906062100","금천구","0.012","0.041","0.4","0.003","45","34"
"201906062200","금천구","0.013","0.038","0.4","0.003","35","28"
"201906062300","금천구","0.011","0.038","0.4","0.003","34","26"
"201906070000","금천구","0.008","0.044","0.3","0.002","30","21"
"201906070100","금천구","0.005","0.047","0.3","0.002","24","16"
"201906070200","금천구","0.005","0.046","0.3","0.003","23","16"
"201906070300","금천구","0.005","0.043","0.3","0.003","22","15"
"201906070400","금천구","0.005","0.042","0.3","0.002","18","14"
"201906070500","금천구","0.005","0.045","0.3","0.002","14","11"
"201906070600","금천구","0.006","0.045","0.3","0.002","8","7"
"201906070700","금천구","0.01","0.043","0.3","0.003","8","6"
"201906070800","금천구","0.019","0.037","0.3","0.002","8","6"
"201906070900","금천구","0.02","0.036","0.4","0.002","8","7"
"201906071000","금천구","0.018","0.038","0.3","0.002","9","6"
"201906071100","금천구","0.02","0.035","0.4","0.002","9","6"
"201906071200","금천구","0.015","0.039","0.4","0.002","9","7"
"201906071300","금천구","0.013","0.04","0.4","0.002","8","7"
"201906071400","금천구","0.011","0.042","0.4","0.002","7","7"
"201906071500","금천구","0.01","0.045","0.3","0.003","10","7"
"201906071600","금천구","0.011","0.045","0.3","0.003","9","5"
"201906071700","금천구","0.011","0.044","0.3","0.003","9","5"
"201906071800","금천구","0.012","0.045","0.3","0.003","11","8"
"201906071900","금천구","0.013","0.044","0.4","0.002","10","5"
"201906072000","금천구","0.018","0.042","0.4","0.002","13","8"
"201906072100","금천구","0.017","0.042","0.4","0.002","14","10"
"201906072200","금천구","0.025","0.027","0.4","0.002","22",""
"201906072300","금천구","0.023","0.026","0.4","0.003","24",""
"201906080000","금천구","0.019","0.028","0.4","0.003","16","11"
"201906080100","금천구","0.018","0.023","0.4","0.002","23","13"
"201906080200","금천구","0.018","0.021","0.4","0.003","23","16"
"201906080300","금천구","0.02","0.02","0.4","0.003","19","14"
"201906080400","금천구","0.022","0.018","0.4","0.003","18","11"
"201906080500","금천구","0.018","0.021","0.4","0.002","19","13"
"201906080600","금천구","0.028","0.015","0.5","0.002","18","12"
"201906080700","금천구","0.033","0.012","0.4","0.002","22","13"
"201906080800","금천구","0.021","0.027","0.4","0.002","16","11"
"201906080900","금천구","0.021","0.03","0.4","0.002","18","14"
"201906081000","금천구","0.017","0.038","0.3","0.003","19","14"
"201906081100","금천구","0.018","0.042","0.3","0.003","19","14"
"201906081200","금천구","0.019","0.044","0.3","0.002","21","13"
"201906081300","금천구","0.02","0.047","0.4","0.003","21","14"
"201906081400","금천구","0.02","0.05","0.3","0.003","21","13"
"201906081500","금천구","0.022","0.058","0.3","0.003","28","16"
"201906081600","금천구","0.021","0.068","0.4","0.003","34","21"
"201906081700","금천구","0.024","0.057","0.4","0.004","30","20"
