"측정일시","측정소명","이산화질소농도(ppm)","오존농도(ppm)","일산화탄소농도(ppm)","아황산가스(ppm)","미세먼지(㎍/㎥)","초미세먼지(㎍/㎥)"
"201906081800","금천구","0.028","0.055","0.6","0.008","30","22"
"201906081900","금천구","0.026","0.048","0.4","0.006","29","23"
"201906082000","금천구","0.026","0.052","0.5","0.005","25","18"
"201906082100","금천구","0.034","0.037","0.6","0.004","35","26"
"201906082200","금천구","0.036","0.027","0.6","0.004","37","29"
"201906082300","금천구","0.035","0.024","0.6","0.004","32","28"
"201906090000","금천구","0.052","0.012","0.6","0.004","32","26"
"201906090100","금천구","0.051","0.01","0.6","0.005","39","28"
"201906090200","금천구","0.024","0.029","0.5","0.007","44","33"
"201906090300","금천구","0.015","0.037","0.4","0.006","40","34"
"201906090400","금천구","0.017","0.031","0.4","0.005","40","31"
"201906090500","금천구","0.016","0.029","0.5","0.005","44","35"
"201906090600","금천구","0.021","0.023","0.5","0.005","42","32"
"201906090700","금천구","0.032","0.016","0.5","0.006","40","31"
"201906090800","금천구","0.023","0.03","0.5","0.008","39","30"
"201906090900","금천구","0.023","0.035","0.4","0.008","30","24"
"201906091000","금천구","0.017","0.047","0.4","0.006","23","21"
"201906091100","금천구","0.015","0.05","0.4","0.005","21","21"
"201906091200","금천구","0.013","0.059","0.5","0.008","28","23"
"201906091300","금천구","0.012","0.068","0.4","0.006","31","27"
"201906091400","금천구","0.016","0.06","0.5","0.006","30","22"
"201906091500","금천구","0.019","0.061","0.5","0.006","29","23"
"201906091600","금천구","0.02","0.06","0.5","0.005","33","27"
"201906091700","금천구","0.019","0.055","0.5","0.006","34","25"
"201906091800","금천구","0.02","0.046","0.4","0.006","29","23"
"201906091900","금천구","0.017","0.04","0.4","0.004","24","19"
"201906022000","노원구","0.015","0.058","0.4","0.004","31","17"
"201906022100","노원구","0.021","0.05","0.4","0.004","32","19"
"201906022200","노원구","0.043","0.028","0.5","0.004","35","22"
"201906022300","노원구","0.032","0.034","0.4","0.004","35","24"
"201906030000","노원구","0.032","0.03","0.5","0.004","33","22"
"201906030100","노원구","0.027","0.034","0.4","0.004","33","20"
"201906030200","노원구","0.021","0.038","0.4","0.003","32","21"
"201906030300","노원구","0.016","0.039","0.4","0.003","27","21"
"201906030400","노원구","0.017","0.035","0.4","0.004","29","21"
"201906030500","노원구","0.021","0.03","0.4","0.004","30","19"
"201906030600","노원구","0.024","0.025","0.4","0.004","30","22"
"201906030700","노원구","0.05","0.011","0.5","0.003","35","24"
"201906030800","노원구","0.046","0.013","0.5","0.004","28","17"
"201906030900","노원구","0.03","0.031","0.5","0.004","32","21"
"201906031000","노원구","0.036","0.029","0.5","0.004","34","20"
"201906031100","노원구","0.034","0.04","0.5","0.004","37","21"
"201906031200","노원구","0.036","0.047","0.6","0.006","38","20"
"201906031300","노원구","0.024","0.055","0.5","0.005","45","21"
"201906031400","노원구","0.008","0.049","0.3","0.003","36","19"
"201906031500","노원구","0.007","0.055","0.3","0.003","21","12"
"201906031600","노원구","0.013","0.064","0.4","0.004","31","19"
"201906031700","노원구","0.021","0.069","0.4","0.004","42","28"
"201906031800","노원구","0.027","0.074","0.5","0.004","48","31"
"201906031900","노원구","0.032","0.072","0.5","0.005","48","32"
"201906032000","노원구","0.039","0.061","0.6","0.004","53","34"
"201906032100","노원구","0.04","0.051","0.5","0.004","55","34"
"201906032200","노원구","0.051","0.029","0.6","0.004","50","32"
"201906032300","노원구","0.031","0.037","0.6","0.007","48","34"
"201906040000","노원구","0.04","0.025","0.6","0.006","44","28"
"201906040100","노원구","0.03","0.027","0.5","0.006","44","30"
"201906040200","노원구","0.028","0.022","0.5","0.005","36","26"
"201906040300","노원구","0.026","0.02","0.5","0.004","38","28"
"201906040400","노원구","0.026","0.018","0.5","0.004","33","24"
"201906040500","노원구","0.024","0.022","0.4","0.004","30","23"
"201906040600","노원구","0.033","0.015","0.5","0.004","30","23"
"201906040700","노원구","0.046","0.008","0.5","0.004","32","24"
"201906040800","노원구","0.039","0.016","0.6","0.005","32","22"
"201906040900","노원구","0.044","0.017","0.6","0.005","37","26"
"201906041000","노원구","0.031","0.027","0.5","0.006","30","18"
"201906041100","노원구","0.027","0.031","0.5","0.006","18","11"
"201906041200","노원구","0.021","0.037","0.4","0.004","22","16"
"201906041300","노원구","0.017","0.052","0.4","0.005","28","21"
"201906041400","노원구","0.015","0.044","0.3","0.004","29","18"
"201906041500","노원구","0.015","0.042","0.3","0.004","25","16"
"201906041600","노원구","0.018","0.043","0.3","0.004","25","15"
"201906041700","노원구","0.015","0.043","0.3","0.004","34","22"
"201906041800","노원구","0.012","0.031","0.3","0.004","24","17"
"201906041900","노원구","0.021","0.024","0.3","0.004","24","17"
"201906042000","노원구","0.029","0.017","0.4","0.004","37","21"
"201906042100","노원구","0.034","0.011","0.4","0.004","40","23"
"201906042200","노원구","0.028","0.012","0.5","0.004","34","25"
"201906042300","노원구","0.02","0.017","0.3","0.003","30","20"
"201906050000","노원구","0.023","0.014","0.4","0.004","27","21"
"201906050100","노원구","0.018","0.015","0.3","0.003","28","22"
"201906050200","노원구","0.015","0.013","0.3","0.003","26","19"
"201906050300","노원구","0.014","0.014","0.3","0.004","26","18"
"201906050400","노원구","0.013","0.015","0.3","0.003","26","19"
"201906050500","노원구","0.018","0.009","0.4","0.003","26","19"
"201906050600","노원구","0.015","0.011","0.3","0.003","27","19"
"201906050700","노원구","0.017","0.012","0.3","0.003","29","20"
"201906050800","노원구","0.017","0.013","0.4","0.003","28","18"
"201906050900","노원구","0.019","0.013","0.4","0.003","33","25"
"201906051000","노원구","0.018","0.016","0.4","0.004","29","21"
"201906051100","노원구","0.02","0.02","0.4","0.003","27","19"
"201906051200","노원구","0.027","0.025","0.5","0.004","34","22"
"201906051300","노원구","0.038","0.032","0.6","0.004","43","28"
"201906051400","노원구","0.035","0.047","0.5","0.004","47","30"
"201906051500","노원구","0.027","0.064","0.4","0.004","47","27"
"201906051600","노원구","0.019","0.077","0.4","0.004","61","38"
"201906051700","노원구","0.02","0.069","0.4","0.004","66","43"
"201906051800","노원구","0.02","0.062","0.4","0.005","57","37"
"201906051900","노원구","0.031","0.049","0.5","0.004","58","38"
"201906052000","노원구","0.048","0.037","0.6","0.004","56","36"
"201906052100","노원구","0.059","0.026","0.7","0.005","61","41"
