year,reg_1,reg_2,metropolitan,pop,pop_under15,pop_15~64,pop_over65,age_mean,age_median,pop_c,distance_1,distance_2,distance_3,pop_c_m,pop_c_w,single_transit,walk,car,bus,bus_c,bus_e,metro,train,taxi,bicycle,etc,multi_transit,time_15,time_60~90,time_90~120,time_120,nc_car_dis,c_car_dis,pt_n,pt_c,trans_n,trans_tt,trans_wt
2015,경기,오정구,Y,181845,22723,140389,18733,39.9,41.4,107551,42228,10214,35738,61965,45586,92896,24371,33223,23230,1477,284,5777,67,380,1585,2502,14655,17952,19994,8359,3283,,,8.7,60549,1.5,6.2,7.8
2015,경기,광명시,Y,338509,52021,251939,34549,38.9,39.7,192940,71282,27688,82327,111081,81859,168058,42976,49949,32699,2837,570,32746,404,528,2688,2661,24882,29460,46290,12688,4446,33.2,124.6,8.7,60549,1.5,6.2,7.8
2015,경기,평택시,Y,457873,71137,337519,49217,38.5,39,262274,145882,31966,22139,158080,104194,248895,58703,124040,27997,21719,1470,6421,622,643,2411,4869,13379,78192,18876,5991,4128,36.5,128.5,8.7,60549,1.5,6.2,7.8
2015,경기,동두천시,Y,97424,13510,68518,15396,41.6,42.6,51672,23573,14649,5332,29449,22223,49215,12764,21351,4514,1954,117,6372,21,270,969,883,2457,13712,4327,2248,1554,34,125.9,8.7,60549,1.5,6.2,7.8
2015,경기,안산시,Y,747035,100000,589284,57751,38,39,422178,206141,82229,43201,248410,173768,390925,92753,168578,59396,28369,2485,25328,151,1401,6049,6415,31253,83926,60768,23036,11521,36.3,125.2,8.7,60549,1.5,6.2,7.8
2015,경기,상록구,Y,383508,53170,298301,32037,37.9,38.7,223968,104092,46623,26551,131579,92389,205174,49095,87365,31803,11834,1622,15852,118,783,3034,3668,18794,42895,36277,13364,6356,,,8.7,60549,1.5,6.2,7.8
2015,경기,단원구,Y,363527,46830,290983,25714,38.2,39.2,198210,102049,35606,16650,116831,81379,185751,43658,81213,27593,16535,863,9476,33,618,3015,2747,12459,41031,24491,9672,5165,,,8.7,60549,1.5,6.2,7.8
2015,경기,고양시,Y,990073,144238,736690,109145,39.4,41,570789,232485,62889,186854,326936,243853,503254,116784,199631,93326,14355,4248,59870,653,1296,6914,6177,67535,104875,119171,48504,21139,35,116.9,8.7,60549,1.5,6.2,7.8
2015,경기,덕양구,Y,425100,61320,312663,51117,39.9,41.1,242411,92999,24154,87301,140086,102325,209448,47334,79702,40882,5317,1486,28353,178,597,1983,3616,32963,42818,55449,18651,7424,,,8.7,60549,1.5,6.2,7.8
2015,경기,일산동구,Y,277925,37967,211347,28611,39.4,40.9,163515,70461,17033,50725,92128,71387,145769,34341,61339,26822,3824,1413,13614,209,351,2503,1353,17746,31115,33108,14074,6129,,,8.7,60549,1.5,6.2,7.8
2015,경기,일산서구,Y,287048,44951,212680,29417,38.7,40.8,164863,69025,21702,48828,94722,70141,148037,35109,58590,25622,5214,1349,17903,266,348,2428,1208,16826,30942,30614,15779,7586,,,8.7,60549,1.5,6.2,7.8
2015,경기,과천시,Y,64817,9093,48201,7523,40.1,42.1,38259,12013,8104,16426,21602,16657,32815,8930,9954,4195,751,250,7631,65,36,775,228,5444,6437,9997,1648,755,32.3,132.9,8.7,60549,1.5,6.2,7.8
2015,경기,구리시,Y,180063,25609,135729,18725,39.3,40.8,106631,45189,18077,40385,60749,45882,91601,26074,33255,18903,1827,416,7466,55,395,1649,1561,15030,19872,23455,5848,2269,35.9,116.5,8.7,60549,1.5,6.2,7.8
